bank_ticker,scenario,size_category,direct_loss,indirect_loss,total_loss,ckpn_buffer,loss_after_ckpn,indirect_mining_exposure,total_equity_usd_m,total_assets_usd_m,gross_loans_usd_m,mining_loans_usd_m,net_income_usd_m,rwa,CAR_before,CAR_after,CAR_impact,CAR_impact_after_ckpn,CAR_after_with_ckpn,car_source,ROA_before,ROA_after,ROA_impact,car_breach_ojk,car_breach_dsib,profit_impact_pct,loss_pct_equity
BRIS,1.5C,DSIB,0.0,8.245144276803797,8.245144276803797,54.06677931115033,0.0,122.15028558227849,3288.156582278481,28872.94974683544,18803.116265822784,146.22512658227848,,28927.871178188896,0.215,0.21471497576762508,0.00028502423237491774,0.0,0.215,lseg_tier1,,-0.00028556639862220833,,False,False,,0.2507527871768942
MEGA,BAU,Large,0.0,1.218391999063291,1.218391999063291,12.235173786348877,0.0,541.5075551392405,1587.1112658227848,8913.167341772152,4255.097088607595,563.1632911392405,,6546.303213242453,0.256,0.2558138809096715,0.00018611909032851054,0.0,0.256,ojk_report_2024,,-0.00013669573927477114,,False,False,,0.07676790060661917
MEGA,2C,Large,17.950895715021435,12.183919990632912,30.134815705654347,12.235173786348877,17.89964191930547,541.5075551392405,1587.1112658227848,8913.167341772152,4255.097088607595,563.1632911392405,,6546.303213242453,0.256,0.25139666667979954,0.004603333320200464,0.0027343129910475973,0.2532656870089524,ojk_report_2024,,-0.003380932338656487,,False,False,,1.8987210509171175
MEGA,1.5C,Large,29.088578753983082,36.55175997189873,65.64033872588182,12.235173786348877,53.40516493953294,541.5075551392405,1587.1112658227848,8913.167341772152,4255.097088607595,563.1632911392405,,6546.303213242453,0.256,0.24597291500444118,0.01002708499555881,0.008158064666405942,0.24784193533359405,ojk_report_2024,,-0.00736442346574758,,False,False,,4.135837237085755
BBKP,BAU,Large,0.0,0.34574048176898736,0.34574048176898736,8.649448639486684,0.0,153.66243634177215,503.9105063291139,5257.930253164557,3008.068734177215,167.9522151898734,-400.5455696202532,4627.7980525803305,0.164,0.16392529049931723,7.470950068277335e-05,0.0,0.164,annual_report_2024,-0.0756186135908823,-0.07624507948935616,0.0006264658984738575,False,False,,0.06861148506063841
BBKP,2C,Large,0.935756955331307,3.457404817689874,4.3931617730211805,8.649448639486684,0.0,153.66243634177215,503.9105063291139,5257.930253164557,3008.068734177215,167.9522151898734,-400.5455696202532,4627.7980525803305,0.164,0.1630507014949428,0.0009492985050572111,0.0,0.164,annual_report_2024,-0.0756186135908823,-0.0770148541148024,0.0013962405239200948,False,False,,0.8718138871571612
BBKP,1.5C,Large,0.6318158365021361,10.37221445306962,11.004030289571757,8.649448639486684,2.3545816500850734,153.66243634177215,503.9105063291139,5257.930253164557,3008.068734177215,167.9522151898734,-400.5455696202532,4627.7980525803305,0.164,0.16162218874623618,0.002377811253763811,0.0005087909246109442,0.16349120907538905,annual_report_2024,-0.0756186135908823,-0.07827216796231334,0.002653554371431041,False,False,,2.1837271006183006
MAYA,BAU,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,equity_rwa_proxy,,,,False,False,,
MAYA,2C,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,equity_rwa_proxy,,,,False,False,,
MAYA,1.5C,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,equity_rwa_proxy,,,,False,False,,
