ticker,year,total_assets_usd_m,total_equity_usd_m,gross_loans_usd_m,net_loans_usd_m,total_deposits_usd_m,net_income_usd_m,net_income_parent_usd_m,profit_before_tax_usd_m,interest_income_usd_m,interest_expense_usd_m,net_interest_income_usd_m,provision_expense_usd_m,npl_amount_usd_m,mining_loans_usd_m,loan_allowance_usd_m,mining_share,roa,roe,nim,ldr,npl_gross,npf_gross_reported,npf_net_reported,market_cap_usd_m,beta,stock_volatility,sharpe_proxy,wacc_base,wacc_climate,cost_of_equity_base,cost_of_equity_climate,cost_of_debt,tier1_ratio,total_car,fs_currency,fs_rounding,has_lseg_reference,reported_car,car_source,deposit_to_asset,ldr_usd,equity_ratio,mining_loan_share,size_category
BVIC,2024,1964.936028607595,248.9531429113924,1301.256982341772,1301.256982341772,1476.715917721519,7.459445443037975,7.459445443037975,9.408868607594938,131.40935158227848,96.6877979113924,34.721553670886074,,,,,,0.0038852412010054,0.0303829649730247,0.0180846702231669,0.8811830134190812,,,,138.440933838197,1.276,0.3903760568573906,-0.1712672517842885,0.1465,0.1506,0.1327,0.1427,0.2,,,Rupiah / IDR,Ribuan / In Thousand,1,,not_available,0.751533839383035,0.8811830134190812,0.12669783610604723,,Medium
INPC,2024,1906.7337341772152,274.66430379746834,671.2328481012659,671.2328481012659,1512.074240506329,9.650253164556961,9.650253164556961,12.009810126582279,104.18126582278481,46.58196202531646,57.59930379746835,12.47,,,,,0.0054232256501351,0.0358310081310308,0.0323695157482115,0.4439152722266458,,,,207.811760754745,-0.5701,1.1330420799401684,0.3477577892695358,0.0561,0.0641,0.0311,0.0411,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.7930180357137344,0.4439152722266459,0.14404963780430002,,Medium
BINA,2024,1546.6287341772152,228.66924050632912,832.3064556962025,832.3064556962025,1273.8744303797469,5.180253164556962,5.180253164556962,6.801455696202532,119.56449367088608,74.43411392405064,45.130379746835445,,28.800696202531647,35.991772151898736,,0.0432434134153057,0.0033529617822248,0.0228334476196002,0.029211012223063,0.6533661684755606,0.034603475685456,3.46e-06,2.2e-06,1675.03963023132,-0.1531,0.9693626180333502,0.472125381766716,0.0543,0.0643,0.0541,0.0641,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.8236459094738274,0.6533661684755606,0.14785011777760482,0.043243413415305736,Medium
BMAS,2024,1411.7120260759493,409.08777550632914,1040.3958412025315,1040.3958412025315,838.6114879746835,-15.646301898734178,-15.646301898734178,-19.701698164556962,95.79525917721519,50.702579810126586,45.09267936708861,,33.86955151898734,15.529469240506328,,0.0149265006889654,-0.0117801097690723,-0.0374953721565225,0.0339503044338459,1.2406172060857097,0.0325544856848327,3.255448567755618e-05,2.065207153502059e-05,531.483857651246,0.2063,0.7620750036570673,0.5837201358894711,0.074,0.084,0.0738,0.0838,0.2,,,Rupiah / IDR,Ribuan / In Thousand,1,,not_available,0.5940386371190173,1.2406172060857095,0.28978132080056423,0.014926500688965404,Medium
BTPS,2024,1376.4291139240506,589.6578481012658,643.778164556962,643.7780379746836,0.0,67.1620253164557,67.1693670886076,85.6453164556962,0.0,0.0,373.574746835443,0.0,,,0.00012658227848101267,,0.0491471795370329,0.1172959003968613,0.2733709274953126,,,,,554.131801601423,1.4126,0.3326242456130717,-0.5818141441083083,0.1406,0.1503,0.1402,0.1502,0.2,47.3,,Rupiah / IDR,Jutaan / In Million,1,0.473,lseg_tier1,0.0,,0.4283968147260523,,Medium
BABP,2024,1320.975253164557,231.71645569620253,711.3662025316455,711.3662025316455,913.3320253164557,4.737341772151899,4.737341772151899,5.936455696202532,88.44506329113923,55.50246835443038,32.94259493670886,-2.6438607594936707,,,,,0.0038366133729375,0.0206523949466334,0.0266790969181076,0.778869220407735,,,,148.802905586121,0.8573,0.7208898038891305,0.2388673502000643,0.1252,0.1318,0.1097,0.1197,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.6914073697659798,0.778869220407735,0.175413169278605,,Medium
AGRS,2024,1269.7227215189873,353.13367088607595,740.9964556962026,740.9964556962026,595.4632278481013,13.661455696202532,13.661455696202532,17.722088607594937,86.61481012658228,49.82753164556962,36.787278481012656,,14.520886075949367,25.114620253164556,,0.0338930369505858,0.0109460625063167,0.0394313544584671,0.0294753252248496,1.2444033838563509,0.0195964312168082,1.96e-14,1.31e-14,207.898118782681,0.8843,0.4492929222763977,-0.3124450925342349,0.1203,0.1246,0.1111,0.1211,0.1631,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.4689710735708818,1.244403383856351,0.278118730098503,0.03389303695058587,Medium
BBYB,2024,1101.8395569620254,225.43272151898734,558.363670886076,558.363670886076,826.8222784810126,1.2585443037974684,1.2585443037974684,1.1825316455696202,228.62607594936708,55.12892405063291,173.4971518987342,,18.435886075949366,2.1808227848101267,,0.0039057390344707,0.0011178065829785,0.0057764293794107,0.1540956944743703,0.6753128035106499,0.0330177034023241,3.3e-48,3e-49,283.780893435706,2.8468,0.9440028153346296,0.259342333546685,0.2164,0.226,0.2191,0.2291,0.2,,,Rupiah / IDR,Jutaan / In Million,1,0.312,lseg_tier1,0.7504017016422191,0.6753128035106499,0.20459668569219538,0.0039057390344707514,Medium
PNBS,2024,1063.1111460126583,180.5225651265823,717.9337467721518,717.9337467721518,0.0,5.6056007594936705,5.6056007594936705,6.6304327215189875,,,119.91527246835443,,48.6913264556962,0.9050143037974684,,0.0006047700722671,0.0051911635322196,0.0314988199975525,0.111049612004501,,0.0325376702841422,,,120.791919336773,0.3546,0.5106813317157387,-0.0375076191774457,0.0949,0.1032,0.082,0.092,0.2,,,Rupiah / IDR,Ribuan / In Thousand,1,,not_available,0.0,,0.1698059189800206,0.0012605819239817537,Medium
BBMD,2024,1049.2380272016455,322.0472907174051,685.6817738477848,685.6817738477848,651.3146957864557,25.53096101506329,25.53096101506329,32.99207284126582,77.11017716398734,19.117961686645568,57.99221547734177,,,,,,0.0247229398909988,0.0807424191319195,0.05615683861435,1.0527657034052198,,,,497.142433985765,-0.0171,0.1909648182895648,0.4448917396314639,0.0718,0.0807,0.0616,0.0716,0.2,,,Rupiah / IDR,Satuan Penuh / Full Amount,1,,not_available,0.620750181466006,1.0527657034052198,0.30693444420453997,,Medium
BBHI,2024,885.0641627529747,459.8567400794304,473.2933248173418,473.2933248173418,383.92331998601264,29.56365436797468,29.56365436797468,37.90819038607595,94.10955721867089,23.381606843101267,70.72795037556962,0.0,,,,,0.0349441090377695,0.0660182223841105,0.0836001253153324,1.2327808710202472,,,,1811.88579509727,3.0295,1.120832028330768,0.6647041131973231,0.2284,0.2383,0.2291,0.2391,0.2,,,Rupiah / IDR,Satuan Penuh / Full Amount,1,,not_available,0.43378021181179305,1.2327808710202472,0.5195744663856404,,Medium
AGRO,2024,830.9443143670886,218.56737512658228,451.0095372151899,451.0095372151899,514.7501265189874,3.2209981012658226,3.2209981012658226,3.502655569620253,66.15576050632912,29.955167405063293,36.200593101265824,,,,,,0.0039806524016271,0.0148078627293375,0.0447382995389694,0.8761717850661931,,,,310.885050309846,1.9725,0.6837027416374414,-0.2649846664204202,0.1701,0.1795,0.171,0.181,0.2,,,Rupiah / IDR,Ribuan / In Thousand,1,,not_available,0.6194760799477409,0.8761717850661931,0.263034924660457,,Medium
BKSW,2024,813.4729746835443,300.55139240506327,535.0991139240506,535.0991139240506,464.6758227848101,3.521392405063291,3.521392405063291,5.468987341772152,46.49132911392405,17.952151898734176,28.539177215189873,,,,,,0.004522245835812,0.0117875108274106,0.0366506087572976,1.1515535943255937,,,,130.059755427224,0.2019,0.5824157354075952,0.0272378230520853,0.0771,0.0867,0.0736,0.0836,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.5712246592648974,1.1515535943255935,0.36946696664628986,,Medium
DNAR,2024,751.2969661798734,230.10645359,588.617328447595,588.617328447595,431.5285030547468,3.1637974647468354,3.1637974647468354,4.3125022196835445,65.65373186189873,27.58921760443038,38.06451425746835,,14.188690635632913,22.40059267151899,,0.0380562915648402,0.0043570798706495,0.0138467701882275,0.0524212218719067,1.364028851584153,0.0241051188096242,,,143.81223142497,0.9845,0.5592549869752584,0.1013305367413386,0.1229,0.1313,0.1166,0.1266,0.2,,,Rupiah / IDR,Satuan Penuh / Full Amount,1,,not_available,0.5743780721609243,1.3640288515841532,0.306278960182715,0.03805629156484021,Medium
BGTG,2024,655.5854430379746,218.05575949367088,317.71088607594936,317.71088607594936,421.1251898734177,12.766708860759493,12.766708860759493,16.11879746835443,45.77221518987342,16.381772151898733,29.390443037974684,,3.69126582278481,23.085,,0.0726603997902718,0.0204158192083533,0.060307799571357,0.0469995813377546,0.7544333459877982,0.0116183171070266,,,202.687149881851,1.4964,0.7311726281826543,0.1861485358407289,0.1448,0.1548,0.1448,0.1548,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.6423650713199623,0.7544333459877982,0.33261226558540297,0.07266039979027188,Medium
BANK,2024,592.5370253164557,198.6451265822785,262.3454430379747,261.96569620253166,0.0,-4.66626582278481,-4.66626582278481,-4.66626582278481,,,58.36981012658228,,,,0.379746835443038,,-0.0089614782361104,-0.0236918272563182,0.1120981536330682,,,,,543.995755810202,0.3317,0.3588877081509369,-0.4637812038522816,0.0841,0.0937,0.0807,0.0907,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.0,,0.33524508696513655,,Medium
BBSI,2024,420.97771517044305,210.12910729196201,268.7810428326582,268.7810428326582,199.9225410377848,7.851920846518988,7.851920846518988,10.147918961518988,68.59676995329114,7.516804922531645,61.079965030759496,,8.384050898037975,0.03154008455696202,,0.0001173448998655,0.024113125743669,0.0380821348803277,0.1875756144254264,1.3444259033395307,0.0311928654256239,3.12,0.42,897.626360787663,0.381,0.4683719866988161,0.5483687579994515,0.0835,0.0935,0.0835,0.0935,0.2,,,Rupiah / IDR,Satuan Penuh / Full Amount,1,,not_available,0.4749005323401532,1.3444259033395305,0.4991454410048431,0.00011734489986557097,Small
AMAR,2024,308.08037974683543,211.35341772151898,185.4428481012658,185.4428481012658,68.63183544303797,13.607088607594937,13.607088607594937,17.406708860759494,77.6176582278481,4.144683544303797,73.47297468354431,,18.8276582278481,0.0,,0.0,0.0464994002976288,0.064806861583821,0.2510786369804891,2.7019945904721854,0.1015280903017989,1.025e-11,1.07e-12,226.656559288256,1.1235,0.4295431864900761,0.2858035334567139,0.1244,0.1343,0.1243,0.1343,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.22277249690303574,2.7019945904721854,0.6860333588760126,0.0,Small
